district_1,cluster_t,village_t,ev_month,Overall Compliance,Agric Compliance,WASH Compliance,Livestock Compliance,vlsa_membership,Compost Compliance,compost_heap_base,compost_standard_size,windrow_size_dimension,heap_covered,compost_demarcated,forms_non_bio,composts_watered_regularly,composts_manure_usuage,Post harvest handling,Water control Practice,Soil Management Practice,Vegetable gardening Practices,organic_manure_received,latrine_present,latrine_cover_present,latrine_floor_sealed,latrine_door_present,latrine_walls_sealed,latrine_roofleak_proof,latrine_environ_free_debris,latri_environ_free_feaces,tippy_tap_present,tippy_fill_water,soap_ash_present,tippy_tap_wet_area,cloth_hangline,kitchen_present,kitchen_ventilated,kitchen_clean,bathroom_present,bath_drainage_present,bathroom_clean,compound_clean,double_dishrack,non_bio_waste_properly_sorted,gs_pen_constr,gs_pen_constr,gs_droppings_composted,pg_sty_constr,pg_sty_clean,pg_droppings_composted,cow_kraal_constr,kraal_clean,cow_droppings_composted,KAP Livestock,KAP Agriculture
Nyabihu,Mwiyanike,Gitebe,600.0,92.29359011015357,97.99603174603175,93.91406323294869,73.33333333333333,93.33333333333333,69.94047619047619,83.33333333333334,50.0,50.0,50.0,0.0,83.33333333333334,83.33333333333334,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.33333333333333,93.33333333333333,66.66666666666666,100.0,86.66666666666667,93.33333333333333,100.0,93.33333333333333,100.0,85.71428571428571,92.85714285714286,100.0,93.33333333333333,100.0,100.0,126.66666666666666,83.33333333333334,83.33333333333334,100.0,93.33333333333333,100.0,0.0,0.0,100.0,100.0,100.0,100.0,40.0,100.0,100.0,33.33333333333333,100.0
Nyabihu,Mwiyanike,Ryamwana,600.0,90.85137085137086,98.96825396825396,91.36363636363637,57.4074074074074,100.0,81.42857142857143,100.0,60.0,60.0,60.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.33333333333333,100.0,53.333333333333336,100.0,80.0,93.33333333333333,100.0,93.33333333333333,85.71428571428571,71.42857142857143,78.57142857142857,100.0,100.0,100.0,93.33333333333333,113.33333333333333,92.85714285714286,100.0,92.85714285714286,93.33333333333333,100.0,66.66666666666666,66.66666666666666,66.66666666666666,100.0,100.0,0.0,0.0,,100.0,66.66666666666666,100.0
Nyabihu,Mwiyanike,Musaraba,600.0,85.19742659158295,88.5515873015873,92.78744990819293,56.666666666666664,93.33333333333333,40.68877551020408,50.0,0.0,0.0,28.57142857142857,0.0,92.85714285714286,28.57142857142857,100.0,100.0,100.0,100.0,93.33333333333333,93.33333333333333,100.0,93.33333333333333,93.33333333333333,66.66666666666666,93.33333333333333,93.33333333333333,6.666666666666667,86.66666666666667,86.66666666666667,100.0,100.0,100.0,93.33333333333333,53.333333333333336,100.0,37.5,246.66666666666669,75.0,100.0,100.0,100.0,100.0,,,,0.0,,100.0,44.44444444444444,25.0,88.88888888888889,33.33333333333333,100.0
Nyabihu,Mwiyanike,Kayanza,600.0,82.94458470522711,94.4047619047619,88.78103011539544,50.0,86.66666666666667,44.047619047619044,44.44444444444444,0.0,0.0,44.44444444444444,0.0,88.88888888888889,33.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,93.33333333333333,46.666666666666664,93.33333333333333,80.0,33.33333333333333,73.33333333333333,86.66666666666667,100.0,84.61538461538461,100.0,100.0,73.33333333333333,100.0,63.63636363636363,200.0,100.0,100.0,71.42857142857143,100.0,93.33333333333333,50.0,50.0,75.0,0.0,,50.0,0.0,,100.0,33.33333333333333,100.0
Nyabihu,Mwiyanike,Nyankukuma,600.0,73.86752867016024,99.52380952380952,90.5622009569378,70.0,33.33333333333333,93.87755102040816,100.0,85.71428571428571,100.0,71.42857142857143,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.66666666666667,100.0,46.666666666666664,93.33333333333333,80.0,86.66666666666667,93.33333333333333,60.0,88.88888888888889,88.88888888888889,100.0,93.33333333333333,100.0,93.33333333333333,80.0,140.0,100.0,100.0,75.0,100.0,100.0,,,,100.0,100.0,100.0,25.0,100.0,100.0,86.66666666666667,100.0
Nyabihu,Mwiyanike,Mucundebo,600.0,59.13958916900093,73.68253968253968,95.09803921568628,54.44444444444444,13.333333333333334,78.57142857142856,83.33333333333334,83.33333333333334,83.33333333333334,0.0,,100.0,100.0,100.0,66.66666666666666,100.0,0.0,100.0,100.0,100.0,93.33333333333333,100.0,80.0,93.33333333333333,100.0,,,93.33333333333333,100.0,85.71428571428571,85.71428571428571,100.0,100.0,86.66666666666667,93.33333333333333,113.33333333333333,100.0,92.85714285714286,100.0,86.66666666666667,100.0,40.0,40.0,93.33333333333333,16.666666666666664,0.0,100.0,33.33333333333333,100.0,100.0,0.0,0.0
Nyabihu,Mwiyanike,Kivuruga,600.0,56.1092307818314,72.93121693121694,96.96602365642613,41.20634920634921,13.333333333333334,64.28571428571429,50.0,75.0,75.0,0.0,,100.0,50.0,100.0,66.66666666666666,100.0,0.0,100.0,100.0,100.0,93.33333333333333,100.0,80.0,93.33333333333333,86.66666666666667,,,93.33333333333333,92.85714285714286,85.71428571428571,92.85714285714286,100.0,100.0,86.66666666666667,80.0,160.0,100.0,100.0,100.0,100.0,100.0,40.0,40.0,46.666666666666664,16.666666666666664,0.0,100.0,66.66666666666666,50.0,100.0,0.0,0.0
Nyabihu,Mwiyanike,Ryanyirandaba,600.0,53.5539066053772,73.41798941798942,90.85319255907491,43.27777777777778,6.666666666666667,74.02597402597402,72.72727272727273,72.72727272727273,72.72727272727273,18.181818181818183,,100.0,81.81818181818183,100.0,66.66666666666666,100.0,0.0,100.0,100.0,100.0,66.66666666666666,93.33333333333333,46.666666666666664,93.33333333333333,80.0,,,80.0,100.0,58.333333333333336,50.0,100.0,73.33333333333333,100.0,90.9090909090909,213.33333333333334,100.0,83.33333333333334,100.0,85.71428571428571,100.0,40.0,40.0,40.0,0.0,,100.0,75.0,66.66666666666666,100.0,0.0,0.0
Nyabihu,Rwantobo,Musenyi,600.0,87.68080182631266,98.0,98.68280326484661,59.09090909090909,86.66666666666667,87.5,87.5,75.0,75.0,87.5,,100.0,87.5,100.0,95.55555555555554,100.0,100.0,100.0,100.0,100.0,93.33333333333333,100.0,60.0,100.0,80.0,100.0,100.0,100.0,100.0,93.33333333333333,100.0,100.0,93.33333333333333,100.0,100.0,153.33333333333334,100.0,100.0,90.9090909090909,100.0,100.0,66.66666666666666,66.66666666666666,66.66666666666666,50.0,100.0,100.0,0.0,,100.0,80.0,100.0
Nyabihu,Rwantobo,Gasura,600.0,87.27962213842873,94.43824404761905,91.71905783844639,48.48484848484848,100.0,46.60714285714286,60.0,0.0,0.0,50.0,0.0,90.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.25,100.0,56.25,87.5,93.75,43.75,100.0,100.0,93.75,93.75,93.75,100.0,68.75,100.0,81.81818181818183,175.0,90.0,90.0,60.0,93.75,100.0,0.0,0.0,100.0,,,,0.0,,100.0,6.25,100.0
Nyabihu,Rwantobo,Ntango,600.0,86.01902483481432,98.80952380952381,96.58236500341764,48.61111111111111,92.85714285714286,80.0,100.0,40.0,60.0,80.0,,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.85714285714286,100.0,78.57142857142857,92.85714285714286,100.0,64.28571428571429,100.0,100.0,100.0,100.0,100.0,100.0,92.85714285714286,100.0,76.92307692307693,150.0,100.0,100.0,60.0,100.0,100.0,0.0,0.0,100.0,,,,0.0,,100.0,0.0,100.0
Nyabihu,Rwantobo,Rwandarugari,600.0,80.89044941986117,93.67521367521367,86.2285753462224,38.33333333333333,84.61538461538461,71.42857142857143,100.0,57.14285714285714,42.857142857142854,71.42857142857143,,85.71428571428571,57.14285714285714,85.71428571428571,94.87179487179488,100.0,84.61538461538461,100.0,100.0,100.0,76.92307692307693,69.23076923076923,15.384615384615385,69.23076923076923,76.92307692307693,54.54545454545454,100.0,92.3076923076923,100.0,83.33333333333334,91.66666666666666,100.0,69.23076923076923,100.0,88.88888888888889,146.15384615384613,100.0,100.0,90.0,92.3076923076923,100.0,0.0,0.0,75.0,,,,0.0,,100.0,0.0,84.61538461538461
Nyabihu,Rwantobo,Rurembo,600.0,74.24980119639562,86.06909430438841,96.26794258373205,45.64102564102564,58.82352941176471,89.61038961038962,90.9090909090909,81.81818181818183,81.81818181818183,72.72727272727273,,100.0,100.0,100.0,82.35294117647058,100.0,52.94117647058824,94.11764705882352,100.0,100.0,94.11764705882352,100.0,70.58823529411765,100.0,94.11764705882352,100.0,100.0,94.11764705882352,100.0,93.75,100.0,100.0,88.23529411764706,100.0,93.33333333333333,100.0,100.0,100.0,94.11764705882352,100.0,100.0,22.22222222222222,22.22222222222222,88.88888888888889,0.0,,100.0,16.666666666666664,0.0,100.0,35.294117647058826,52.94117647058824
Nyabihu,Rwantobo,Karambi,600.0,57.19934640522876,73.77777777777777,97.4640522875817,37.55555555555555,20.0,77.77777777777779,88.88888888888889,77.77777777777779,77.77777777777779,0.0,,100.0,100.0,100.0,66.66666666666666,100.0,0.0,100.0,100.0,100.0,86.66666666666667,100.0,66.66666666666666,100.0,100.0,,,100.0,100.0,80.0,86.66666666666667,100.0,80.0,91.66666666666666,100.0,173.33333333333334,88.88888888888889,100.0,100.0,86.66666666666667,100.0,26.666666666666668,26.666666666666668,46.666666666666664,0.0,,100.0,33.33333333333333,100.0,100.0,0.0,0.0
